iter	Passed	Remaining
0	156	234549
1	275	206147
2	373	186356
3	471	176258
4	576	172339
5	668	166552
6	759	161900
7	842	157145
8	902	149527
9	999	148856
10	1090	147657
11	1182	146689
12	1308	149720
13	1428	151625
14	1531	151586
15	1622	150529
16	1725	150482
17	1818	149688
18	1926	150188
19	2038	150843
20	2133	150246
21	2230	149881
22	2335	149971
23	2445	150427
24	2540	149866
25	2642	149831
26	2738	149397
27	2792	146783
28	2895	146880
29	2988	146439
30	3099	146885
31	3195	146584
32	3363	149514
33	3503	151082
34	3598	150606
35	3692	150166
36	3790	149896
37	3888	149618
38	3991	149532
39	4091	149347
40	4183	148869
41	4267	148134
42	4358	147674
43	4453	147371
44	4551	147158
45	4673	147730
46	4783	147880
47	4883	147723
48	4972	147240
49	5066	146934
50	5158	146553
51	5257	146410
52	5358	146292
53	5452	146009
54	5573	146419
55	5664	146073
56	5764	145936
57	5862	145749
58	5934	144948
59	6046	145105
60	6158	145270
61	6252	145019
62	6344	144719
63	6436	144420
64	6534	144250
65	6645	144385
66	6741	144187
67	6838	144002
68	6938	143900
69	7041	143851
70	7136	143626
71	7238	143564
72	7331	143322
73	7430	143191
74	7523	142955
75	7618	142745
76	7726	142789
77	7820	142567
78	7911	142313
79	8010	142188
80	8121	142282
81	8223	142209
82	8321	142071
83	8428	142083
84	8533	142060
85	8660	142401
86	8788	142737
87	8886	142586
88	8979	142365
89	9075	142176
90	9165	141908
91	9267	141839
92	9365	141685
93	9458	141470
94	9549	141226
95	9644	141057
96	9746	140977
97	9839	140768
98	9929	140516
99	10034	140485
100	10133	140359
101	10230	140216
102	10328	140088
103	10422	139902
104	10513	139683
105	10628	139774
106	10730	139693
107	10831	139603
108	10928	139463
109	11038	139491
110	11133	139313
111	11228	139153
112	11263	138254
113	11389	138473
114	11454	137948
115	11505	137276
116	11622	137389
117	11678	136775
118	11789	136817
119	11907	136941
120	12002	136785
121	12096	136626
122	12192	136499
123	12283	136306
124	12384	136226
125	12486	136162
126	12543	135604
127	12639	135476
128	12729	135282
129	12825	135165
130	12978	135631
131	13072	135480
132	13174	135407
133	13270	135281
134	13369	135183
135	13480	135202
136	13578	135088
137	13672	134945
138	13770	134830
139	13870	134745
