number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_learning_rate,state
0,-169.50054721701065,2026-06-20 01:05:37.709453,2026-06-20 01:06:39.670102,0 days 00:01:01.960649,0.011041999214063533,0.95,8.248424507547161e-05,COMPLETE
1,-171.81182523616735,2026-06-20 01:06:39.671762,2026-06-20 01:07:43.437751,0 days 00:01:03.765989,0.024366425559204565,0.9,4.469288200011406e-05,COMPLETE
2,-178.08964342948718,2026-06-20 01:07:43.438751,2026-06-20 01:08:43.016332,0 days 00:00:59.577581,0.0009321610827308651,0.99,1.9110225498260898e-05,COMPLETE
3,-165.7367269984917,2026-06-20 01:08:43.016332,2026-06-20 01:09:50.428696,0 days 00:01:07.412364,6.474449001917388e-07,0.98,2.7547656735683175e-05,COMPLETE
4,-69.48359973359973,2026-06-20 01:09:50.429691,2026-06-20 01:10:59.502862,0 days 00:01:09.073171,0.00024503201238431044,0.98,0.0006589953273602247,COMPLETE
5,-163.77948717948718,2026-06-20 01:10:59.502862,2026-06-20 01:12:00.673034,0 days 00:01:01.170172,0.023509934443354048,0.95,0.00034801738078680383,COMPLETE
6,-174.74184981684982,2026-06-20 01:12:00.674636,2026-06-20 01:13:05.925737,0 days 00:01:05.251101,0.004383531801293641,0.95,2.1743384611806096e-05,COMPLETE
7,-170.9927462887989,2026-06-20 01:13:05.925737,2026-06-20 01:14:13.067273,0 days 00:01:07.141536,2.4158696967652467e-05,0.9,3.107632115730093e-05,COMPLETE
8,-163.19871794871796,2026-06-20 01:14:13.067273,2026-06-20 01:15:16.717132,0 days 00:01:03.649859,5.129776412809119e-06,0.9,0.0002059410135345654,COMPLETE
9,-169.0662934112301,2026-06-20 01:15:16.717132,2026-06-20 01:16:21.164184,0 days 00:01:04.447052,7.330445971783112e-06,0.99,6.381040098766235e-05,COMPLETE
