iter	MAE	Huber:delta=50
0	73.58430015	2659.641875
1	70.73510975	2554.841135
2	68.04926287	2458.597088
3	65.8313814	2379.081583
4	63.95386754	2306.735056
5	62.08243668	2234.845222
6	60.52322854	2171.88902
7	59.27042499	2119.529247
8	58.08817308	2069.420087
9	57.10426503	2026.864615
10	56.28838699	1990.066327
11	55.52425961	1955.043301
12	54.8472875	1922.672894
13	54.24251091	1893.234784
14	53.74864677	1868.876062
15	53.29782437	1845.940523
16	52.9072203	1825.670409
17	52.4953552	1804.195045
18	52.15988172	1785.918674
19	51.87909725	1769.720824
20	51.59577534	1753.511127
21	51.38199085	1740.224842
22	51.15733322	1726.609615
23	50.96149865	1714.505676
24	50.79110286	1703.417171
25	50.62191352	1692.48404
26	50.48443055	1683.319073
27	50.3417502	1673.79658
28	50.21402153	1665.163021
29	50.11477601	1658.208426
30	50.02595532	1652.451075
31	49.93853909	1646.492571
32	49.84696224	1639.819568
33	49.75756121	1633.497012
34	49.65946519	1626.913141
35	49.52750115	1618.23503
36	49.48229801	1614.125352
37	49.42929204	1609.745837
38	49.40499547	1606.540606
39	49.35422102	1602.385016
40	49.30751159	1598.197905
41	49.25580212	1593.931912
42	49.18749318	1589.453438
43	49.15138112	1586.265481
44	49.10927306	1582.882806
45	49.0750475	1579.807702
46	49.02438958	1576.25953
47	48.98091939	1572.999576
48	48.9549045	1570.172541
49	48.92336513	1567.655992
50	48.90815552	1565.622669
51	48.89861483	1564.295118
52	48.87598507	1562.050465
53	48.84840597	1560.027368
54	48.80607992	1557.265934
55	48.76912045	1554.910356
56	48.71515508	1551.83505
57	48.67837487	1549.516077
58	48.6624257	1548.247437
59	48.61046965	1545.363583
60	48.57771807	1543.320905
61	48.53505727	1540.751698
62	48.50400395	1538.859921
63	48.49387309	1537.852479
64	48.47040107	1536.3634
65	48.43686475	1534.462745
66	48.40777348	1532.757045
67	48.37131433	1530.663623
68	48.33747332	1528.552634
69	48.32119204	1527.38911
70	48.29296839	1525.568063
71	48.26642521	1524.089804
72	48.23273877	1522.186372
73	48.20323202	1520.576467
74	48.17416773	1518.832114
75	48.15245149	1517.640361
76	48.11412374	1515.683379
77	48.07066567	1513.237046
78	48.05220099	1512.142421
79	48.01194885	1510.114204
80	47.97666641	1508.573599
