iter	Passed	Remaining
0	177	354586
1	211	210955
2	251	167387
3	288	144194
4	323	128922
5	329	109473
6	355	101176
7	398	99217
8	435	96265
9	462	91995
10	494	89357
11	525	87106
12	565	86509
13	601	85268
14	637	84311
15	670	83172
16	704	82157
17	737	81170
18	743	77494
19	758	75080
20	778	73325
21	782	70386
22	807	69440
23	842	69334
24	870	68775
25	899	68324
26	932	68141
27	943	66451
28	953	64836
29	987	64878
30	1019	64762
31	1051	64666
32	1077	64250
33	1110	64206
34	1141	64101
35	1180	64379
36	1219	64715
37	1257	64937
38	1272	64003
39	1307	64088
40	1346	64344
41	1389	64796
42	1454	66173
43	1499	66648
44	1530	66475
45	1557	66156
46	1591	66131
47	1625	66099
48	1637	65192
49	1670	65167
50	1681	64275
51	1716	64317
52	1727	63461
53	1760	63453
54	1793	63415
55	1827	63426
56	1857	63326
57	1890	63305
58	1925	63351
59	1957	63293
60	1991	63297
61	2023	63253
62	2057	63248
63	2089	63199
64	2122	63174
65	2158	63248
66	2192	63259
67	2223	63185
68	2245	62831
69	2277	62786
70	2297	62421
71	2339	62637
72	2373	62654
73	2406	62634
74	2450	62889
75	2483	62861
76	2525	63079
77	2562	63139
78	2599	63201
79	2642	63413
80	2683	63581
81	2716	63537
82	2748	63480
83	2780	63425
84	2797	63033
85	2813	62607
86	2845	62568
87	2878	62534
88	2910	62495
89	2943	62474
90	2980	62527
91	3012	62482
92	3045	62443
93	3083	62532
94	3116	62500
95	3148	62452
96	3182	62438
97	3214	62380
98	3246	62346
99	3279	62316
100	3312	62275
101	3344	62234
102	3376	62195
103	3411	62200
104	3428	61868
105	3460	61833
106	3493	61806
107	3529	61839
108	3578	62077
109	3608	62008
110	3640	61956
111	3670	61881
112	3701	61819
113	3732	61751
114	3765	61722
115	3797	61673
116	3830	61642
117	3870	61729
118	3905	61739
119	3942	61761
120	3976	61744
121	4007	61687
122	4041	61675
123	4072	61618
124	4103	61549
125	4133	61478
126	4164	61412
127	4195	61360
128	4225	61286
129	4260	61290
130	4293	61257
131	4326	61226
132	4358	61185
133	4392	61167
134	4431	61215
135	4455	61064
136	4490	61067
137	4527	61090
138	4567	61150
139	4611	61270
140	4649	61294
141	4688	61351
142	4727	61386
143	4764	61406
144	4801	61429
145	4840	61472
146	4878	61500
147	4930	61700
148	4968	61720
149	5004	61720
150	5039	61710
151	5076	61715
152	5113	61728
153	5152	61760
154	5188	61764
155	5224	61761
156	5261	61767
157	5299	61783
158	5336	61792
159	5373	61789
160	5408	61782
161	5447	61800
162	5483	61803
163	5522	61825
164	5563	61876
165	5603	61908
166	5649	62007
167	5688	62026
168	5727	62054
169	5765	62066
170	5802	62065
171	5841	62078
172	5879	62087
173	5919	62118
174	5957	62132
175	5997	62157
176	6036	62170
177	6075	62189
178	6113	62196
179	6150	62192
180	6187	62185
181	6227	62211
182	6264	62198
183	6300	62183
184	6337	62175
185	6374	62169
186	6412	62172
187	6454	62205
188	6495	62239
189	6533	62241
190	6571	62239
191	6607	62220
192	6643	62199
193	6686	62242
194	6728	62285
195	6764	62262
196	6801	62249
197	6836	62218
198	6873	62206
199	6915	62235
200	6956	62266
201	7000	62307
202	7044	62361
203	7084	62370
204	7125	62390
205	7166	62411
206	7204	62403
207	7243	62408
208	7281	62396
209	7319	62387
210	7361	62413
211	7399	62405
212	7438	62410
213	7478	62412
214	7515	62400
215	7551	62370
216	7589	62363
217	7626	62342
218	7664	62330
219	7701	62310
220	7746	62354
221	7788	62378
222	7845	62515
223	7883	62504
224	7921	62494
225	7961	62494
226	8004	62518
227	8043	62517
228	8086	62537
229	8126	62537
230	8165	62528
231	8203	62516
232	8245	62532
233	8288	62552
234	8327	62548
235	8364	62521
236	8403	62515
237	8442	62500
238	8479	62482
239	8518	62467
240	8556	62448
241	8592	62422
242	8630	62403
243	8667	62374
244	8708	62379
245	8747	62368
246	8797	62437
247	8842	62468
248	8891	62527
249	8941	62587
250	9024	62886
251	9074	62943
252	9130	63047
253	9176	63078
254	9219	63088
255	9258	63074
256	9298	63062
257	9336	63038
258	9375	63025
259	9420	63047
260	9467	63078
261	9507	63070
262	9549	63070
263	9590	63066
264	9631	63061
265	9671	63045
266	9715	63059
267	9758	63066
268	9802	63078
269	9865	63212
270	9917	63273
271	9967	63325
272	10014	63352
273	10066	63414
274	10119	63475
275	10172	63542
276	10236	63676
277	10312	63879
278	10385	64061
279	10446	64169
280	10512	64309
281	10564	64361
282	10621	64439
283	10682	64546
284	10747	64675
285	10809	64780
286	10986	65575
287	11049	65683
288	11095	65690
289	11146	65724
290	11189	65715
291	11231	65696
292	11276	65694
293	11319	65681
294	11362	65670
295	11402	65644
296	11446	65633
297	11486	65602
298	11530	65597
299	11572	65577
300	11616	65568
301	11661	65569
302	11706	65566
303	11747	65536
304	11791	65528
305	11851	65611
306	11914	65702
307	11959	65699
308	12000	65672
309	12048	65682
310	12109	65765
311	12153	65756
312	12197	65741
313	12238	65713
314	12275	65666
315	12313	65619
316	12354	65594
317	12395	65562
318	12436	65533
319	12478	65510
320	12526	65517
321	12565	65482
322	12608	65463
323	12651	65443
324	12693	65419
325	12734	65393
326	12777	65373
327	12816	65332
328	12857	65305
329	12899	65279
330	12950	65300
331	12994	65283
332	13040	65282
333	13086	65273
334	13130	65262
335	13184	65294
336	13228	65277
337	13275	65275
338	13318	65254
339	13375	65303
340	13431	65345
341	13488	65392
342	13547	65444
343	13603	65484
344	13659	65526
345	13710	65541
346	13757	65537
347	13801	65518
348	13842	65484
349	13884	65453
350	13923	65412
351	13967	65393
352	14013	65384
353	14052	65341
354	14091	65299
355	14131	65259
356	14170	65213
357	14219	65217
358	14257	65172
359	14297	65134
360	14337	65093
361	14378	65061
362	14422	65041
363	14470	65039
364	14516	65026
365	14554	64977
366	14593	64934
367	14630	64885
368	14670	64844
369	14708	64798
370	14742	64731
371	14782	64692
372	14816	64630
373	14854	64580
374	14897	64556
375	14954	64591
376	14994	64553
377	15037	64526
378	15077	64487
379	15117	64450
380	15156	64407
381	15194	64359
382	15232	64308
383	15283	64319
384	15331	64311
385	15374	64285
386	15416	64254
387	15459	64228
388	15508	64228
389	15548	64186
390	15647	64392
391	15698	64395
392	15742	64372
393	15790	64363
394	15834	64339
395	15881	64329
396	15925	64304
397	15969	64278
398	16009	64239
399	16049	64197
400	16091	64166
401	16129	64118
402	16170	64079
403	16210	64037
404	16247	63987
405	16289	63952
406	16331	63923
407	16368	63869
408	16403	63809
409	16439	63754
410	16476	63701
411	16510	63635
412	16543	63571
413	16577	63508
414	16613	63453
415	16657	63427
416	16697	63387
417	16734	63336
418	16768	63272
419	16803	63214
420	16837	63152
421	16872	63090
422	16904	63022
423	16940	62966
424	16976	62914
425	17011	62855
426	17047	62798
427	17087	62760
428	17131	62734
429	17169	62689
430	17208	62644
431	17254	62628
432	17292	62580
433	17329	62530
434	17374	62507
435	17414	62468
436	17452	62421
437	17521	62486
438	17570	62478
439	17627	62496
440	17669	62464
441	17709	62423
442	17747	62375
443	17785	62328
444	17822	62280
445	17859	62228
446	17895	62174
447	17931	62120
448	17970	62075
449	18014	62050
450	18056	62016
451	18097	61980
452	18137	61938
